,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,timmins,90,CA,1570050434,86,48.48,-81.33,5.0,4.6
1,haapiti,20,PF,1570050215,65,-17.57,-149.87,27.0,2.1
2,port elizabeth,6,CD,1570050434,78,-7.04,29.76,19.47,1.21
3,mahebourg,75,MU,1570050134,88,-20.41,57.7,24.0,5.1
4,leningradskiy,100,RU,1570050435,94,69.38,178.42,-1.21,6.99
5,ranot,100,TH,1570050435,86,7.78,100.32,24.67,2.25
6,namibe,62,AO,1570050435,83,-15.19,12.15,18.48,5.05
7,cidreira,100,BR,1570050435,87,-30.17,-50.22,18.5,4.9
8,tooele,1,US,1570050378,30,40.53,-112.3,15.0,3.1
9,marienburg,75,DE,1570050435,81,52.12,9.98,10.56,6.7
10,bouna,35,CI,1570050436,92,9.27,-3.0,23.41,1.17
11,khatanga,0,RU,1570050436,83,71.98,102.47,-6.45,3.56
12,ushuaia,75,AR,1570050012,70,-54.81,-68.31,7.0,8.7
13,punta arenas,40,PH,1570050436,88,14.18,121.12,24.0,1.5
14,kapaa,75,US,1570050436,78,22.08,-159.32,29.0,8.2
15,boa esperanca,100,CM,1570050437,82,4.43,8.97,25.66,3.65
16,torbay,90,CA,1570050237,80,47.66,-52.73,6.67,5.7
17,dongsheng,0,CN,1570050066,55,29.72,112.52,22.59,1.38
18,cockburn town,0,AU,1570049839,16,-32.08,141.0,24.0,5.7
19,rikitea,100,PF,1570050437,86,-23.12,-134.97,16.59,4.53
20,airai,0,TL,1570050438,58,-8.93,125.41,20.3,1.32
21,nikolskoye,75,RU,1570050438,81,59.7,30.79,7.0,3.0
22,busselton,76,AU,1570050142,69,-33.64,115.35,12.78,4.2
23,geraldton,90,CA,1570050438,69,49.72,-86.95,3.0,3.6
24,egvekinot,100,RU,1570050439,95,66.32,-179.17,-1.62,1.26
25,zaragoza,40,SV,1570050439,83,13.59,-89.29,30.0,2.1
26,albany,90,US,1570050236,82,42.65,-73.75,18.0,4.6
27,port alfred,6,CD,1570050302,78,-7.04,29.76,19.47,1.21
28,arraial do cabo,0,BR,1570050440,21,-22.84,-46.65,34.0,4.1
29,qaanaaq,50,GL,1570050440,77,77.48,-69.36,-4.58,1.98
30,lebu,54,ET,1570050440,92,8.96,38.73,11.67,1.07
31,yellowknife,75,CA,1570050441,57,62.45,-114.38,10.0,5.1
32,atuona,4,PF,1570050441,73,-9.8,-139.03,26.37,4.37
33,ribeira grande,0,PT,1570050441,87,41.76,-8.56,16.11,1.5
34,carutapera,61,BR,1570049936,73,-1.2,-46.02,27.14,4.1
35,lompoc,1,US,1570050441,19,34.64,-120.46,26.11,3.91
36,lorengau,80,PG,1570050442,82,-2.02,147.27,25.81,1.77
37,chokurdakh,99,RU,1570050165,94,70.62,147.9,-3.49,6.37
38,bluff,0,AU,1570050164,76,-23.58,149.07,16.85,6.51
39,beaverlodge,20,CA,1570050204,41,55.21,-119.43,16.0,3.1
40,barrow,0,AR,1570050442,51,-38.31,-60.23,10.32,4.89
41,iracoubo,21,GF,1570050062,68,5.48,-53.21,27.84,4.1
42,vaini,31,IN,1570050443,94,15.34,74.49,23.71,0.74
43,thompson,5,CA,1570050443,39,55.74,-97.86,9.0,4.6
44,cape town,75,CL,1570050245,44,-36.41,-71.9,15.0,4.6
45,fukue,75,JP,1570050443,78,35.03,136.69,24.0,5.1
46,tasiilaq,100,GL,1570050444,69,65.61,-37.64,4.0,14.4
47,mataura,98,NZ,1570050224,93,-46.19,168.86,6.67,1.79
48,sorrento,0,AU,1570050444,93,-31.82,115.75,12.78,2.1
49,hilo,20,US,1570050445,55,19.71,-155.08,30.0,3.6
50,hope mills,20,US,1570050445,36,33.67,-93.59,36.0,4.1
51,changji,0,CN,1570050238,78,32.07,116.17,21.33,0.8
52,saint-augustin,75,CA,1570050016,58,45.63,-73.98,12.78,1.5
53,cabo san lucas,75,ES,1570050446,87,43.18,-5.8,17.78,0.5
54,sainte-marie,75,CA,1570050427,87,46.45,-71.03,8.33,3.1
55,concepcion del uruguay,100,CO,1570050446,90,9.56,-73.66,27.35,2.44
56,pevek,100,RU,1570050446,84,69.7,170.27,-1.33,5.2
57,upernavik,0,GL,1570050447,71,72.79,-56.15,2.81,5.13
58,necochea,0,AR,1570050408,65,-38.55,-58.74,8.33,3.58
59,puerto ayora,75,AR,1570050234,57,-51.62,-69.23,11.0,10.8
60,bredasdorp,76,ZA,1570050447,87,-34.53,20.04,14.0,2.6
61,dikson,2,RU,1570050447,77,73.51,80.55,-3.32,8.84
62,hamilton,90,CA,1570050448,100,43.26,-79.87,15.0,6.2
63,yenagoa,100,NG,1570050448,94,4.92,6.26,22.21,2.48
64,bucerias,75,MX,1570050448,66,20.76,-105.33,30.0,5.1
65,haines junction,1,US,1570050449,32,44.91,-117.94,13.33,3.1
66,trinidad,40,BO,1570050449,55,-14.83,-64.9,32.0,1.5
67,georgetown,20,GY,1570050260,74,6.8,-58.16,30.0,4.1
68,noumea,0,NC,1570050186,60,-22.28,166.46,22.78,1.0
69,avarua,100,CK,1570050150,61,-21.21,-159.78,25.0,4.6
70,port-cartier,75,CA,1570050172,52,50.03,-66.88,7.22,4.1
71,koumac,100,NC,1570050450,73,-20.56,164.28,20.66,5.09
72,westport,75,US,1570049803,83,41.14,-73.36,28.89,3.1
73,kavieng,100,PG,1570050172,77,-2.57,150.8,27.47,2.25
